TestDataID,Rating
1,4.47182
2,4.23802
3,4.31993
4,2.45224
5,3.32663
6,3.39609
7,4.34164
8,2.99923
9,2.92146
10,2.43493
11,4.16836
12,3.77319
13,3.56845
14,3.55682
15,3.37619
16,3.54692
17,3.91047
18,3.89059
19,3.89936
20,3.48945
21,3.51435
22,4.11415
23,4.08063
24,2.86344
25,3.69557
26,3.02281
27,3.51554
28,3.33587
29,2.34271
30,3.17391
31,3.02578
32,2.94038
33,3.36205
34,2.96862
35,4.13288
36,3.71046
37,3.92149
38,2.89997
39,3.57232
40,2.26123
41,3.35293
42,3.78695
43,2.46519
44,4.01722
45,3.697
46,3.46391
47,3.46652
48,3.81017
49,3.76966
50,3.55893
51,4.43548
52,3.25333
53,4.10709
54,4.72983
55,4.10161
56,3.5966
57,4.24475
58,2.98948
59,3.83768
60,3.80698
61,3.47153
62,4.16181
63,4.22179
64,4.27082
65,4.65942
66,4.04133
67,4.19218
68,4.18028
69,3.24181
70,4.34338
71,3.43168
72,4.32151
73,3.31398
74,4.24778
75,2.967
76,3.198
77,4.29835
78,4.1302
79,4.2869
80,4.22367
81,4.07511
82,4.24449
83,4.55183
84,4.48125
85,4.69392
86,3.92319
87,4.94553
88,3.99166
89,4.69245
90,4.03772
91,4.19306
92,4.07826
93,4.49739
94,4.45553
95,4.2488
96,4.19297
97,4.25099
98,4.40232
99,4.16992
100,4.527
101,3.72111
102,3.94418
103,4.83523
104,4.03013
105,3.88001
106,4.33717
107,4.02097
108,4.40698
109,3.41332
110,4.05259
111,4.54796
112,4.43752
113,4.59776
114,3.38546
115,3.97029
116,2.25672
117,3.92012
118,3.11305
119,3.21851
120,2.51159
121,2.08623
122,2.98558
123,4.11585
124,2.5895
125,2.7832
126,4.40741
127,4.02663
128,3.9977
129,3.07476
130,2.58769
131,3.58594
132,3.50835
133,4.13529
134,4.30532
135,1.87893
136,4.11827
137,3.89809
138,3.83954
139,4.05841
140,3.19579
141,2.85708
142,3.77268
143,3.70403
144,3.38018
145,3.52592
146,3.00223
147,3.69281
148,4.07705
149,3.50742
150,2.92789
151,3.54144
152,3.60391
153,3.66433
154,2.12193
155,3.26467
156,2.90915
157,4.05477
158,4.20243
159,2.85044
160,4.00113
161,3.41722
162,3.31774
163,2.99078
164,2.53201
165,3.13853
166,3.45648
167,3.74118
168,4.07394
169,3.00269
170,4.7381
171,4.01686
172,4.61258
173,3.54453
174,4.35833
175,4.45839
176,4.45322
177,4.56556
178,4.80788
179,4.87548
180,2.98691
181,4.35836
182,4.55072
183,4.03751
184,3.59095
185,4.3199
186,4.12663
187,4.21764
188,3.48964
189,4.56787
190,4.23265
191,3.76713
192,4.1971
193,2.99292
194,4.50235
195,4.55677
196,3.02144
197,4.27082
198,4.35161
199,2.80121
200,4.15578
201,4.48073
202,4.53187
203,1.56285
204,4.03014
205,1.64026
206,3.41325
207,3.71341
208,4.38551
209,3.22693
210,4.29788
211,3.57781
212,3.86322
213,4.46855
214,1.9349
215,4.22507
216,2.2715
217,4.86859
218,3.90907
219,4.14192
220,1.96382
221,4.57366
222,4.18925
223,4.72567
224,4.27662
225,3.28004
226,4.05419
227,1.68022
228,2.83051
229,2.23509
230,4.55241
231,3.86113
232,3.05109
233,4.41679
234,4.06663
235,2.74279
236,4.40941
237,4.23198
238,3.48793
239,3.65085
240,3.83447
241,3.58944
242,3.00818
243,3.54568
244,4.57935
245,4.28628
246,4.0901
247,3.76527
248,2.86126
249,3.65756
250,3.64765
251,3.49544
252,4.93335
253,2.97933
254,3.99969
255,3.06194
256,3.49156
257,3.1008
258,2.98687
259,3.16192
260,2.90302
261,2.93027
262,3.02149
263,2.62271
264,3.59177
265,1.95591
266,3.4439
267,3.72522
268,3.14697
269,3.88407
270,4.32971
271,2.8813
272,3.64205
273,2.72946
274,2.75812
275,3.96938
276,2.5633
277,2.64752
278,3.85789
279,3.37933
280,3.84667
281,3.78402
282,4.14256
283,3.64225
284,3.31626
285,3.3281
286,3.11099
287,3.099
288,3.36653
289,3.20514
290,3.19956
291,2.94692
292,3.25276
293,3.38929
294,3.30269
295,3.2518
296,3.47352
297,3.20167
298,3.9134
299,3.8935
300,3.0684
301,3.615
302,3.7981
303,3.41398
304,3.38752
305,3.6319
306,4.02352
307,3.52776
308,3.3522
309,3.35098
310,3.82391
311,3.82454
312,3.80717
313,3.46657
314,3.14485
315,3.33735
316,4.07028
317,3.02677
318,4.30232
319,2.91004
320,4.50537
321,3.88751
322,4.05012
323,3.59746
324,3.78008
325,4.53315
326,4.34558
327,3.30116
328,2.82053
